,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
11, هری پاتر و شاهزاده دو رگه,جی.کی رولینگ,ویدا اسلامیه,آرمان سلطان‌زاده,"۱۲۰,۰۰۰ ",آوانامه,۱۴۰۰/۱۰/۰۱, فارسی," 2071.71 مگابایت
                        ",دنیای جادوگری همیشه دنیایی جذاب و خواندنی بوده است. تفسیر کردن این فضا و روایت آن هم بسیار جذاب است. اگر این کار را ماهرانه انجام دهید، طرف‌داران زیادی پیدا خواهید کرد. ,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/125311_25599_normal.jpg
12, خرمگس,اتل لیلیان وینیچ,حمیدرضا بلوچ,آرمان سلطان‌زاده,"۴۸,۰۰۰ ",آوانامه,۱۳۹۸/۰۶/۲۷, فارسی," 793.26 مگابایت
                        ",ادبیات در قرن نوزدهم خودبه‌خود با سیاست و مسائل اجتماعی درهم‌پیچیده است. در زمانه‌ای که بیشتر اروپا در ناآرامی به سر می‌برد داستان‌های نویسندگان حال و هوای زمانه‌شان را منتقل می‌کند. اتل لیلیان ویلیچ نیز در شاهکارش، خرمگس زمانه‌ای غریب در ایتالیا را تصویر کرده است. خرمگس کتاب جذابی است که لذت ادبیات را به خواننده می‌چشاند و او را وادار می‌کند تا کتاب را به پایان نرسانده از آن دست نکشد.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/93836_66549_normal.jpg
13, ۱۹۸۴,جورج اورول‌,صالح حسینی,آرمان سلطان‌زاده,"۴۳,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۶, فارسی," 732.47 مگابایت
                        ",«آیا ممکن است شرایط به‌گونه‌ای تغییر کند که انسان آرزو‌هایش برای آزادی، شرافت، کمال و عشق را فراموش کند؟‌»,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/82131_43897_normal.jpg
14, زوربای یونانی,نیکوس کازانتزاکیس,محمود مصاحب,آرمان سلطان‌زاده,"۵۱,۰۰۰ ",آوانامه,۱۳۹۵/۱۰/۱۵, فارسی," 887.15 مگابایت
                        ",«من از وقتی‌که سنتور زدن آموخته‌ام آدم دیگری شده‌ام. وقتی غمی به دلم نشسته یا در زندگی عرصه بر من تنگ‌شده باشد سنتور می‌زنم و حس می‌کنم که سبک‌تر ‌می‌شوم. وقتی به سنتور زدن مشغولم با من صحبت هم بکنند چیزی نمی‌شنوم و اگر هم بشنوم نمی‌توانم حرف بزنم. البته دلم می‌خواهد اما نمی‌توانم». این‌ها جملاتی است که الکسیس زوربا در بخشی از کتب زوربای یونانی می‌گوید. زوربای یونانی کتابی کم‌نظیر و جذاب درباره‎‌ی فلسفه‌ی زندگی است که نیکوس کازانتراکیس نویسنده‌ی یونانی قرن بیستم آن را نوشته و در طی سال‌ها این اثر به یکی از مشهورترین آثار ادبیات جهان تبدیل‌شده است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/86397_43783_normal.jpg
15, من پیش از تو,جوجو مویز,مریم مفتاحی,گروه گویندگان  ،                                                                                                             مریم پاک ذات,"۵۱,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۷, فارسی," 951.35 مگابایت
                        ",من پیش از تو به ظاهر یک داستان عاشقانه و خانوادگی است؛ اما مهم‌ترین تعریفی که از این کتاب می‌توان داشت این است که جوجو مویز نویسنده این رمان، داستان شجاعت و تلاش پایدار برای تغییر مسیر زندگی را روایت می‌کند. نثر مویز در این رمان طنازانه و صمیمی و در عین حال خوش‌خوانی است. عشق و دلدادگی در بستر مشکلات و حوادث همان چیزی است که این کتاب را تبدیل به یکی از محبوب‌ترین‌ها و پرفروش‌ترین‌ها کرده است.,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/82149_12470_normal.jpg
16, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۸/۱۷, فارسی," 40.74 مگابایت
                        ",None,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/122750_66609_normal.jpg
17, بامداد خمار,فتانه حاج سید جوادی(پروین),None,شیما درخشش,"۵۴,۰۰۰ ",آوانامه,۱۳۹۸/۱۲/۱۲, فارسی," 1005.29 مگابایت
                        ",None,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/97015_18284_normal.jpg
18, ربکا,دافنه دوموریه,صدف محسنی,بهناز جعفری  ،                                                                                                             رضا عمرانی  ،                                                                                                             سارا بهرامی,"۵۰,۰۰۰ ",ماه آوا,۱۴۰۰/۱۱/۰۱, فارسی," 686.03 مگابایت
                        ",None,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/126233_69347_normal.jpg
19, بالاخره یه روزی قشنگ حرف می‌زنم,دیوید سداریس,پیمان خاکسار,هوتن شکیبا,"۴۰,۰۰۰ ",رادیو گوشه,۱۴۰۰/۰۷/۲۶, فارسی," 1069.01 مگابایت
                        ",همیشه کتاب‌ها قرار نیست درباره‌ی چیزهای مهم و قلمبه سلمبه باشند، گاهی کتاب‌ها فقط نوشته می‌شوند که آدم‌ها را بخندانند. نوشته‌های دیوید سداریس، طنزنویس آمریکایی هم در این دسته قرار می‌گیرند. او روایتگر ماهری است و بلد است خنده را روی لب‌های خوانندگانش بیاورد و آن‌ها را از بند زمان و مکان خارج شد. بالاخره یه روزی قشنگ حرف می‌زنم یکی از بهترین کتاب‌های این نویسنده است. کتابی که خوانندگان زیادی در سراسر جهان دارد. ,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/121763_18191_normal.jpg
20, صد سال تنهایی,گابریل گارسیا مارکز,بهمن فرزانه,مهدی پاکدل,"۴۲,۰۰۰ ",نوین کتاب,۱۳۹۷/۰۴/۱۵, فارسی," 966.86 مگابایت
                        ",None,داستان و رمان آمریکای جنوبی,https://newcdn.fidibo.com/images/books/81989_38976_normal.jpg
21, دختر پرتقالی,یوستین گوردر,مهوش خرمی‌‌پور,آرمان سلطان‌زاده,"۳۱,۰۰۰ ",آوانامه,۱۳۹۸/۱۲/۲۴, فارسی," 304.3 مگابایت
                        ",None,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/97162_84805_normal.jpg
22, ناطور دشت,جی دی سلینجر,مریم صالحی  ،                                                                                                             مهدی آذری,آرمان سلطان‌زاده,"۳۴,۰۰۰ ",آوانامه,۱۳۹۷/۰۹/۱۰, فارسی," 409.73 مگابایت
                        ",نام سلینجر نویسنده انزوا دوست آمریکایی به رمان ناطور دشت گره خورده است. او در این رمان به خوبی توانسته زندگی جوانان بعد از جنگ در امریکا را به تصویر بکشد. هولدن کالفید شخصیت اول این داستان به قدری خوب پرداخته شده که نام او بعد از خواندن این کتاب هرگز از ذهن پاک نمیشود. هولدن کالفید حالا یک شخصیت معروف و محبوب در دنیای ادبیات است و تبدیل به یک نماد از تنهایی و سرگشتگی شده است.,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/87369_48126_normal.jpg
23, سال بلوا,عباس معروفی‌,None,عاطفه رضوی,"۳۹,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۶, فارسی," 625.93 مگابایت
                        ",سال بلوا روایتی عاشقانه است از زندگی دختری به نام نوشا. پدر نوشا؛ سرهنگ نيلوفري؛ مردی است كه برای ساختن آینده‌ی دخترش به شهرستان «سنگسر» در استان سمنان مهاجرت می‌کند؛ اما زندگی نوشا آن‌طور که تصور می‌شود پیش نمی‌رود؛ اما که هفده سال دارد در کوچه عاشق مردی کوزه‌گر به نام حسينا مي‌شود. از طرفی شخصیت دیگر داستان، دكتر معصوم است. مردی میان‌سال و بسیار خوش‌نام كه خواستگار نوشا است. حال این دختر جوان باید بين عشق و شهرت یک کدام را انتخاب کند. انتخابی که در سرنوشت او تاثیرگذار خواهد بود.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/82122_11216_normal.jpg
24, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۸/۰۱, فارسی," 31.89 مگابایت
                        ",None,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/121977_10543_normal.jpg
25,دانلود 33.  چنل بی  ,چنل بی,None,علی بندری,None,علی بندری,۱۳۹۶/۱۰/۲۴, فارسی," 50.55 مگابایت
                        ",None,سرگرمی,https://newcdn.fidibo.com/images/books/78995_68724_normal.jpg
26, ابله,فئودور داستايفسكی‌,سروش حبیبی,آرمان سلطان‌زاده,"۸۸,۰۰۰ ",آوانامه,۱۴۰۰/۰۱/۲۸, فارسی," 3021.83 مگابایت
                        ", ,داستان و رمان روسیه,https://newcdn.fidibo.com/images/books/113101_74267_normal.jpg
27, راهنمای مردن با گیاهان دارویی,عطیه عطارزاده,None,نگار جواهریان,"۲۷,۰۰۰ ",رادیو گوشه,۱۳۹۹/۰۸/۱۳, فارسی," 303.04 مگابایت
                        ",محدود شدن در هر نوع جهان‌بینی، خواه ناشی از محبت پدر و مادر باشد می‌تواند هر آدمی را گرفتار رنج و فقر کند.,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/105349_56010_normal.jpg
28,دانلود 27.  چنل بی  ,چنل بی,None,علی بندری,None,علی بندری,۱۳۹۶/۰۶/۰۳, فارسی," 75.38 مگابایت
                        ",None,سرگرمی,https://newcdn.fidibo.com/images/books/79002_98409_normal.jpg
29, تابلو,آنتون چخوف,None,میلاد اردوبادی,None,ماه آوا,۱۳۹۶/۱۰/۰۱, فارسی," 2.59 مگابایت
                        ",None,None,https://newcdn.fidibo.com/images/books/82358_57038_normal.jpg
